code=323, textureId=0, prespace=0, width=8, advance=8, top=(360, 27), bottom=(368, 40)
code=324, textureId=0, prespace=0, width=7, advance=7, top=(368, 27), bottom=(375, 40)
code=328, textureId=0, prespace=0, width=7, advance=7, top=(375, 27), bottom=(382, 40)
code=333, textureId=0, prespace=0, width=7, advance=7, top=(382, 27), bottom=(389, 40)
code=338, textureId=0, prespace=0, width=9, advance=9, top=(389, 27), bottom=(398, 40)
code=339, textureId=0, prespace=0, width=9, advance=9, top=(398, 27), bottom=(407, 40)
code=346, textureId=0, prespace=0, width=8, advance=8, top=(407, 27), bottom=(415, 40)
code=347, textureId=0, prespace=0, width=6, advance=6, top=(415, 27), bottom=(421, 40)
code=352, textureId=0, prespace=0, width=8, advance=8, top=(421, 27), bottom=(429, 40)
code=353, textureId=0, prespace=0, width=6, advance=6, top=(429, 27), bottom=(435, 40)
code=363, textureId=0, prespace=0, width=7, advance=7, top=(435, 27), bottom=(442, 40)
code=376, textureId=0, prespace=0, width=8, advance=8, top=(442, 27), bottom=(450, 40)
code=377, textureId=0, prespace=0, width=7, advance=7, top=(450, 27), bottom=(457, 40)
code=378, textureId=0, prespace=0, width=6, advance=6, top=(457, 27), bottom=(463, 40)
code=379, textureId=0, prespace=0, width=7, advance=7, top=(463, 27), bottom=(470, 40)
code=380, textureId=0, prespace=0, width=6, advance=6, top=(470, 27), bottom=(476, 40)
code=381, textureId=0, prespace=0, width=7, advance=7, top=(476, 27), bottom=(483, 40)
code=382, textureId=0, prespace=0, width=6, advance=6, top=(483, 27), bottom=(489, 40)
code=402, textureId=0, prespace=0, width=8, advance=8, top=(489, 27), bottom=(497, 40)
code=462, textureId=0, prespace=0, width=13, advance=13, top=(497, 27), bottom=(510, 40)
code=464, textureId=0, prespace=0, width=13, advance=13, top=(1, 40), bottom=(14, 53)
code=466, textureId=0, prespace=0, width=13, advance=13, top=(14, 40), bottom=(27, 53)
code=468, textureId=0, prespace=0, width=13, advance=13, top=(27, 40), bottom=(40, 53)
code=470, textureId=0, prespace=0, width=13, advance=13, top=(40, 40), bottom=(53, 53)
code=472, textureId=0, prespace=0, width=13, advance=13, top=(53, 40), bottom=(66, 53)
code=474, textureId=0, prespace=0, width=13, advance=13, top=(66, 40), bottom=(79, 53)
code=476, textureId=0, prespace=0, width=13, advance=13, top=(79, 40), bottom=(92, 53)
code=593, textureId=0, prespace=0, width=7, advance=7, top=(92, 40), bottom=(99, 53)
code=609, textureId=0, prespace=0, width=6, advance=6, top=(99, 40), bottom=(105, 53)
code=710, textureId=0, prespace=0, width=6, advance=6, top=(105, 40), bottom=(111, 53)
code=711, textureId=0, prespace=0, width=6, advance=6, top=(111, 40), bottom=(117, 53)
code=713, textureId=0, prespace=0, width=5, advance=5, top=(117, 40), bottom=(122, 53)
code=714, textureId=0, prespace=0, width=3, advance=3, top=(122, 40), bottom=(125, 53)
code=715, textureId=0, prespace=0, width=3, advance=3, top=(125, 40), bottom=(128, 53)
code=717, textureId=0, prespace=0, width=3, advance=3, top=(128, 40), bottom=(131, 53)
code=729, textureId=0, prespace=0, width=3, advance=3, top=(131, 40), bottom=(134, 53)
code=732, textureId=0, prespace=0, width=6, advance=6, top=(134, 40), bottom=(140, 53)
code=913, textureId=0, prespace=0, width=13, advance=13, top=(140, 40), bottom=(153, 53)
code=914, textureId=0, prespace=0, width=13, advance=13, top=(153, 40), bottom=(166, 53)
code=915, textureId=0, prespace=0, width=13, advance=13, top=(166, 40), bottom=(179, 53)
code=916, textureId=0, prespace=0, width=13, advance=13, top=(179, 40), bottom=(192, 53)
code=917, textureId=0, prespace=0, width=13, advance=13, top=(192, 40), bottom=(205, 53)
code=918, textureId=0, prespace=0, width=13, advance=13, top=(205, 40), bottom=(218, 53)
code=919, textureId=0, prespace=0, width=13, advance=13, top=(218, 40), bottom=(231, 53)
code=920, textureId=0, prespace=0, width=13, advance=13, top=(231, 40), bottom=(244, 53)
code=921, textureId=0, prespace=0, width=13, advance=13, top=(244, 40), bottom=(257, 53)
code=922, textureId=0, prespace=0, width=13, advance=13, top=(257, 40), bottom=(270, 53)
code=923, textureId=0, prespace=0, width=13, advance=13, top=(270, 40), bottom=(283, 53)
code=924, textureId=0, prespace=0, width=13, advance=13, top=(283, 40), bottom=(296, 53)
code=925, textureId=0, prespace=0, width=13, advance=13, top=(296, 40), bottom=(309, 53)
code=926, textureId=0, prespace=0, width=13, advance=13, top=(309, 40), bottom=(322, 53)
code=927, textureId=0, prespace=0, width=13, advance=13, top=(322, 40), bottom=(335, 53)
code=928, textureId=0, prespace=0, width=13, advance=13, top=(335, 40), bottom=(348, 53)
code=929, textureId=0, prespace=0, width=13, advance=13, top=(348, 40), bottom=(361, 53)
code=931, textureId=0, prespace=0, width=13, advance=13, top=(361, 40), bottom=(374, 53)
code=932, textureId=0, prespace=0, width=13, advance=13, top=(374, 40), bottom=(387, 53)
code=933, textureId=0, prespace=0, width=13, advance=13, top=(387, 40), bottom=(400, 53)
code=934, textureId=0, prespace=0, width=13, advance=13, top=(400, 40), bottom=(413, 53)
code=935, textureId=0, prespace=0, width=13, advance=13, top=(413, 40), bottom=(426, 53)
code=936, textureId=0, prespace=0, width=13, advance=13, top=(426, 40), bottom=(439, 53)
code=937, textureId=0, prespace=0, width=13, advance=13, top=(439, 40), bottom=(452, 53)
code=945, textureId=0, prespace=0, width=13, advance=13, top=(452, 40), bottom=(465, 53)
code=946, textureId=0, prespace=0, width=13, advance=13, top=(465, 40), bottom=(478, 53)
